"COLECTIVO","PROGRAMA","CIF","ENTIDAD","PROYECTO","IMPORTE",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-28821254","ALDEAS INFANTILES SOS DE ESPAÑA","COMPATIBILIDAD DE LA VIDA LABORAL Y FAMILIAR","41246,06",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-28821254","ALDEAS INFANTILES SOS DE ESPAÑA","CENTRO DE EDUCACIÓN INFANTIL EN SANTA CRUZ DE TENERIFE",90000,,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-79406435","APOYO VOLUNTARIO VALLECAS TODO CULTURA","CASA DE NIÑOS EL DESVÁN",88497,,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-28688638","ASOCIACIÓN NACIONAL PRESENCIA GITANA","CONVIVENCIA INTERCULTURAL DESDE LA CUNA",211080,,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","R-02800560-A","CÁRITAS ESPAÑOLA","FACILITAR LA CONCILIACIÓN ENTRE LA VIDA FAMILIAR Y PERSONAL","737365,4",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-34102160","COLECTIVOS DE ACCIÓN SOLIDARIA","FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","43354,44",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","R-07800985-I","COMPAÑÍA DE LAS HIJAS DE SAN VICENTE DE PAÚL. COMPAÑÍA DE ESPAÑA","CONCILIACIÓN ENTRE LA VIDA LABORAL Y FAMILIAR","154625,76",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","Q-02866001-G","CRUZ ROJA ESPAÑOLA","CENTROS INFANTILES DE 0 A 3 AÑOS","347205,96",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-63214043","FUNDACIÓ QUATRE VENTS, FUNDACIÓ PRIVADA","SERVICIO DE ATENCIÓN A LA INFANCIA Y A LA FAMILIA QUATRE VENTS","173284,6",,,
"INFANCIA Y FAMILIA","PROGRAMAS DIRIGIDOS A FACILITAR LA CONCILIACIÓN ENTRE LA VIDA LABORAL, FAMILIAR Y PERSONAL","G-05138516","RED ESPAÑOLA DE DESARROLLO RURAL","PROGRAMA PARA LA INFANCIA Y LA FAMILIA. COMPATIBILIDAD VIDA LABORAL Y FAMILIAR","64876,68",,,
